,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
186,100307516,Dommerledet narkotikaprogram : rapport fra arbeidsgruppen for utredning av mulighetene for Drug Court i Norge,"Fjeld , Rune",URN:NBN:no-nb_digibok_2016081208138,oai:nb.bibsys.no:990509652554702202,c39c4fa07464feee3404413176982172,,Oslo,20040101,2004,Justis- og politidepartementet,mul / nob / eng,Street Drugs / Punishment / Norway / drug / court / dommerledet / narkotikaprogram / narkotika / straff / substance / abuce / narcotics / drugs,364.17,,Faglitteratur,digibok
187,100376461,Sammendrag av konsekvensutredning av videre drift av konsesjonsunderlagte anlegg ved Institutt for energiteknikk,,URN:NBN:no-nb_digibok_2018050448160,oai:nb.bibsys.no:999919852790402202,f89327360ececa55c65d9381d3528df8,,Kjeller,20040101,2004,IFE,nob,,,,Uklassifisert,digibok
188,100329134,"Innstilling fra Komiteen til utredning av fremtidig virksomhet ved Bygningsingeniøravdelingen, NTH",,URN:NBN:no-nb_digibok_2017032408016,oai:nb.bibsys.no:998311633724702202,e77c8345e2cbacce7905bea08d7506da,,Trondheim,19640101,1964,,nob,,607,,Faglitteratur,digibok
189,100504141,Utredning av konsekvenser for likestilling,,URN:NBN:no-nb_digibok_2009031804185,oai:nb.bibsys.no:999909086314702202,6e0fe23c84caf70aa32fe9050e2da158,,Oslo,19990101,1999,Barne- og familiedepartementet,nob,likestilling / menn / kvinner / rettigheter,,,Uklassifisert,digibok
190,100188972,Underlagsmateriale for utredning av marginalkostnadsprisning for tunge kjøretøy,"Rekdal , Jens / Larsen , Odd I.",URN:NBN:no-nb_digibok_2014011006007,oai:nb.bibsys.no:991122758184702202,eb70156b030dd41a119f1116e50147fa,,Molde,20100101,2010,Høgskolen i Molde,nob,,,,Uklassifisert,digibok
191,100535273,Nikkel og Olivin A/S : utredning av konsekvenser i forbindelse med nytt deponi på Fornes,"Iversen , Eigil Rune / Berge , John Arthur",URN:NBN:no-nb_digibok_2011033106118,oai:nb.bibsys.no:990121272214702202,e3a4f537569df28475b7528b4290d63b,8257740330,Oslo,20010101,2001,Norsk institutt for vannforskning,nob,,,,Uklassifisert,digibok
192,100036717,Nord-Norgebanen : planutredning : Melding : utkast til program for konsekvensutredning av miljø- og samfunnsmessige virkninger,,URN:NBN:no-nb_digibok_2011011808155,oai:nb.bibsys.no:999201787904702202,0cf1d680f556ef141df47c7ff8257b25,,,19910101,1991,Bruer IKB,nob,Jernbaner,,,Faglitteratur,digibok
193,100197573,Trygghet for mor og barn : innstilling fra Arbeiderpartiets komité til utredning av selvbestemt svangerskapsavbrytelse,,URN:NBN:no-nb_digibok_2014031208099,oai:nb.bibsys.no:999000699534702202,b23052f48e85505571c924f3057603c9,,[Oslo],19830101,1983,[DNA],nob,abort / svangerskap / etikk / barn / mødre,179,,Faglitteratur,digibok
194,100095599,"Utredning av atferdsvansker, omsorgssvikt og mishandling","Kvello , Øyvind",URN:NBN:no-nb_digibok_2012070605027,oai:nb.bibsys.no:990604710774702202,593ec8fddf318ebca6025dfd4cc3ea4b,,Oslo,20070101,2007,Universitetsforl.,nob,Child Abuse / Child Behavior Disorders / Child Welfare / Social Welfare / Substance-Related Disorders / Violence / Adolescent / Family / Diagnosis / barnevern / atferdsvanskar / omsorgssvikt / mishandling / barn / barneomsorg / rusmisbruk / rusmidler / foreldre / sosial / omsorg / psykiske / lidelser / seksuelle / overgrep / barnemishandling / forskning / utredningsmetoder / utredninger / metoder / utredningsmaler / tilknytningfamilie / aggresjon / adhd / asperger / syndrom,362.76 / 362.76 / 362.76,,Faglitteratur,digibok
195,100436956,Særskilt pantsettelse av immaterialrettigheter : en utredning av spørsmålet om det bør åpnes for særskilt pantsettelse av immaterielle rettigheter,"Lund , Astri M.",URN:NBN:no-nb_digibok_2021021705036,oai:nb.bibsys.no:991203246444702202,d6096e28ebfdb42479af49a44a2c2e7f,,Oslo,20120101,2012,Det kongelige justis- og beredskapsdepartement,nob,,,,Uklassifisert,digibok
