,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
1967,100067992,Prosessanlegg for organisk råstoff i Skjørdalen : konsekvensutredning : deltema: fugl og noen pattedyrarter,"Husby , Magne",URN:NBN:no-nb_digibok_2011102706059,oai:nb.bibsys.no:990518353984702202,7959a1544c6a9dcbdf7d6511ede028bf,8274564316,Steinkjer,20050101,2005,Høgskolen i Nord-Trøndelag,nob,,,,Uklassifisert,digibok
1968,100077337,Utredning av demens : organisering og samarbeid mellom primær- og spesialisthelsetjenesten : erfaringer fra tre fylker og 17 kommuner,"Brækhus , Anne / Lillesveen , Birger",URN:NBN:no-nb_digibok_2012022305049,oai:nb.bibsys.no:990522158904702202,e0439eab360eff7dc7203003c3843876,8280610375,Tønsberg,20050101,2005,Aldring og helse,nob,Alzheimer Disease / Primary Health Care / Dementia / Diagnosis / Norway / senil / demens / diagnostikk / primærhelsetjenesten / spesialisthelsetjenesten / aldersdemens / utredning / behandling / organisering / samarbeid / utgreiing / spesialisthelsetjeneste,618.976898 / 618.97683,,Faglitteratur,digibok
1969,100105754,Obligatorisk tjenestepensjon : utredning nr 13 fra Banklovkommisjonen : utredning fra Banklovkommisjonen oppnevnt ved kongelig resolusjon 6. april. 1990 : avgitt til Finansdepartementet 1. juli 2005,"Selvig , Erling",URN:NBN:no-nb_digibok_2012090408085,oai:nb.bibsys.no:990515210404702202,18cbfd56b522e486b86c20f3d03baf0c,,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,tjenestepensjon / pensjonsreformer / pensjonsgivende / inntekt / innskuddspensjon,344.01252,,Faglitteratur,digibok
1970,100107303,Mellommannens rolle og betydning for konkurransen : oppsummering av fire delutredninger,,URN:NBN:no-nb_digibok_2012090508166,oai:nb.bibsys.no:990509126154702202,6b6a8daf21588b09eb55b2a6f290ae61,8276457703,Oslo,20050101,2005,ECON Analyse,nob,megler / meglervirksomhet,,,Uklassifisert,digibok
1971,100124070,Veileder for lokale energiutredninger : revidert utgave av NVE veileder nr 3-2003,"Havskjold , Monica / Risnes , Anne Sofie Ravndal / Espegren , Nils Martin",URN:NBN:no-nb_digibok_2012120606052,oai:nb.bibsys.no:990511054464702202,86f73b6136d0a74eac6c4e75c65d6327,,Oslo,20050101,2005,Norges vassdrags- og energidirektorat,nob,,,,Uklassifisert,digibok
1972,100124987,Etterforsking og rettsmedisinsk utredning i straffesaker der siktede kan ha vært bevisstløs på handlingstiden,"Rosenqvist , Randi",URN:NBN:no-nb_digibok_2012120606084,oai:nb.bibsys.no:990510395324702202,201fb277afa120cecd51464fa55d5950,,,20050101,2005,Riksadvokaten,nob,Criminal law / Administration of justice / rettsmedisin / norge,,,Uklassifisert,digibok
1973,100127834,"Aktivitets- og arealanalyse, Universitetssykehus[et] i Nord-Norge UNN HF : Tilleggsutredning","Lauvsnes , Marte",URN:NBN:no-nb_digibok_2012121806034,oai:nb.bibsys.no:990515093424702202,60b6c41f30afc4e1859beb9c42647930,,Trondheim,20050101,2005,SINTEF Helse,nob,,,,Uklassifisert,digibok
1974,100135699,"Konsekvensutredning for Havsul 2, Giske og Haram kommuner : tema: marin flora og fauna","Johnsen , Geir Helge",URN:NBN:no-nb_digibok_2013010908164,oai:nb.bibsys.no:990700698914702202,ff231662dc41c163ab1c5c78abb270fe,8276584446,Bergen,20050101,2005,Rådgivende biologer,nob,vindmøller / alternative / energikilder / biodiverisitet,,,Uklassifisert,digibok
1975,100149808,"Lokalisering av forbrenningsanlegg i Skjørdalen, Verdal kommune : konsekvensutredning","Hassel , Kristian",URN:NBN:no-nb_digibok_2013061308257,oai:nb.bibsys.no:990601877434702202,3bdfe2cd5fed6b33a8af4c62d9218822,8271267209,Trondheim,20050101,2005,"Norges teknisk-naturvitenskapelige universitet, Vitenskapsmuseet",nob,,,,Uklassifisert,digibok
1976,100174908,Konsekvensutredning Nordre Jarlsberg brygge,,URN:NBN:no-nb_digibok_2013100906040,oai:nb.bibsys.no:990605020534702202,1380055b91a8648e0824f884f92b39fe,,Sande i Vestfold,20050101,2005,[Bryggen],nob,,,,Uklassifisert,digibok
1977,100202317,Samfunnssikkerhet og risikoforskning (SAMRISK) : innstilling fra en utredningsgruppe nedsatt av Norges forskningsråd,"Hovden , Jan",URN:NBN:no-nb_digibok_2014040406080,oai:nb.bibsys.no:990519291394702202,464cf0403b58a2a4eef493f7c4cef1cb,8212022013,Oslo,20050101,2005,Norges forskningsråd,nob,offentlig / sikkerhet / forskning / samrisk / beredskap / risikoanalyser / samfunnssikkerhet,,,Uklassifisert,digibok
1978,100205303,"Modeller for driftstilskudd i barnehagesektoren : en utredning av gjeldende tilskuddsmodeller og forslag til ny, statlig modell for driftstilskudd til barnehager","Veland , Geir / Bogen , Hanne",URN:NBN:no-nb_digibok_2014050805141,oai:nb.bibsys.no:990520676024702202,6082c4e4e86a937492aa297f4f212b70,8274225066,Oslo,20050101,2005,Fafo,nob,barnehager / finansiering / tilskuddsordninger / drift / barnehagar / tilskot / sordningar / driftstilskot,,,Uklassifisert,digibok
1979,100205786,Om forvalterregistrering av aksjer i norske selskaper : utredning fra Forvalterregistreringsutvalget oppnevnt ved kongelig resolusjon 2. april 2004 : avgitt til Finansdepartementet 16. juni 2005,"Arnesen , Finn",URN:NBN:no-nb_digibok_2014051505044,oai:nb.bibsys.no:990513594214702202,0f9d1a1074071147e8fff21fbfdf5e2d,8258308459,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,aksjer / aksjeselskaper / allmennaksjeloven / forvalterregistrering / allmenaksjeloven,346.09,,Faglitteratur,digibok
1980,100237779,Industrien mot 2020 - kunnskap i fokus : utredning fra et utvalg oppnevnt ved kongelig resolusjon 2. juli 2004 : avgitt til Nærings- og handelsdepartementet 1. februar 2005,"Glad , Karl",URN:NBN:no-nb_digibok_2009070800144,oai:nb.bibsys.no:990502798664702202,d14adc2b53729f1801b707c57b23b976,8258308262,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,industri / industripolitikk / næringspolitikk,338.9481,,Faglitteratur,digibok
1981,100237896,Uttaksutvalget : skattlegging av personlig næringsdrivende ved utdeling : utredning fra et utvalg oppnevnt av Finansdepartementet 8. september 2004 : avgitt 12. januar 2005,"Iversen , Marianne",URN:NBN:no-nb_digibok_2009070801171,oai:nb.bibsys.no:990502271064702202,f9724308763ee8dd196b9fd5acb1e2cf,8258308211,Oslo,20050101,2005,"Statens forvaltningstjeneste, Informasjonsforvaltning",nob,beskatning / utdelingsmodell / personlig / næringsdrivende / selvstendig / skatteloven / skatteordninger,343.04,,Faglitteratur,digibok
1982,100252110,Framtidsbygda 2020 : fagutredninger : arbeidsnotat,"Farsund , Arild Aurvåg",URN:NBN:no-nb_digibok_2015060808216,oai:nb.bibsys.no:990513667384702202,f932776b2e33cb8db4dd91a2bdfe82cc,8249003640,Stavanger,20050101,2005,Rogalandsforskning,nob,bygde-norge / bygdesamfunnet / framtidsscenarier,,,Uklassifisert,digibok
1983,100275475,"Konsekvensutredning for Havsul 4, Eide og Averøy kommuner : tema: marin flora og fauna","Johnsen , Geir Helge",URN:NBN:no-nb_digibok_2016010608104,oai:nb.bibsys.no:990700704904702202,5ffbd6f20b5d8ed3dae2e5348b27bfb9,8276584454,Bergen,20050101,2005,Rådgivende biologer,nob,vindmøller / biodiversitet / alternative / enegikilder,,,Uklassifisert,digibok
1984,100287721,"Konsekvensutredning for Havsul 1, Sandøy kommune : tema: marin flora og fauna","Johnsen , Geir Helge",URN:NBN:no-nb_digibok_2016031508004,oai:nb.bibsys.no:990700709114702202,7535741fa503cd7b3529f18dbaa033c9,8276584438,Bergen,20050101,2005,Rådgivende biologer,nob,vindmøller / alternative / energikilder / biodiversitet,,,Uklassifisert,digibok
1985,100297088,Utredning av ikke-kommersiell GA- og luftsportsvirksomhet som opererer etter forskrift NZ CAR part 149 i New Zealand,"Oltedal , Helle A. / Njå , Ove",URN:NBN:no-nb_digibok_2016060108010,oai:nb.bibsys.no:990701748904702202,294262758e16ec1500f3f5c90957ff81,8249004248,Stavanger,20050101,2005,Universitetet i Stavanger,nob,,,,Uklassifisert,digibok
1986,100372479,"Konsekvensutredning for Havsul I, Sandøy kommune : tema: fiskeri og havbruksnæringen","Johnsen , Geir Helge",URN:NBN:no-nb_digibok_2018041948039,oai:nb.bibsys.no:990700707174702202,08331a0aa45b9df2bb26132fd459d0c0,8276584462,Bergen,20050101,2005,Rådgivende biologer,nob,vindmøller / alternative / energikilder / fiskerier / oppdrett,,,Uklassifisert,digibok
1987,100374566,"Konsekvensutredning for Havsul II, Giske og Haram kommuner : tema: fiskeri og havbruksnæring","Johnsen , Geir Helge",URN:NBN:no-nb_digibok_2018050448525,oai:nb.bibsys.no:990700707504702202,465597acc58df59764df74aa96f1546d,8276584470,Bergen,20050101,2005,Rådgivende biologer,nob,vindmøller / alternative / energikilder / fiskerier / oppdrett,,,Uklassifisert,digibok
