,dhlabid,title,authors,urn,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype
2864,100203519,Evaluering av Opptrappingsplanen for psykisk helse : supplerende analyser innen spesialisthelsetjensten. Delrapport 1,"Pedersen , Per Bernhard / Lilleeng , Solfrid / Sitter , Marit",URN:NBN:no-nb_digibok_2014042306046,oai:nb.bibsys.no:990809670434702202,160a4232340b7090e0f8c458dcf13ee5,,Trondheim,20080101,2008,SINTEF Helse,nob,"Norway / Psychiatry / helse, / psykisk / helsevern, / evaluering, / opptrappingsplan, / helsetjenester",,,Uklassifisert,digibok
2865,100203817,Menneskehandelens ofre - fra utnytting til myndiggjøring : evaluering av ROSA-prosjektet,"Dyrlid , Linda / Berg , Berit",URN:NBN:no-nb_digibok_2014051205080,oai:nb.bibsys.no:990824103994702202,7c45fbbc4955f3655a0377e21a4c7c00,,Trondheim,20080101,2008,NTNU samfunnsforskning,nob,trafficking / prostitusjon / menneskehandel / asyl / krisesenter / kvinner / barn,362.88,,Faglitteratur,digibok
2866,100204308,"Evaluering av ""Kast masken"" : et rusforebyggende program rettet mot ungdom : skoleåret 2006/2007","Bolstad , Anne / Iversen , Erik / Skutle , Arvid",URN:NBN:no-nb_digibok_2014042906074,oai:nb.bibsys.no:990804079434702202,1d405d7f1bc1534a9c7310d968cc985a,,Bergen,20080101,2008,Stiftelsen Bergensklinikkene,nob,Alcohol Drinking / Substance-Related Disorders / Norway / Adolescent / Primary Prevention / Evaluation Studies / rusmisbruk / forebygging,,,Uklassifisert,digibok
2867,100205248,Evaluering av KS' ulike ledelsesutviklingstilbud for kommunesektoren,"Haave , Hanne Marit / Odden , Sigrun / Haugstveit , Yngve / Hafting , Tore",URN:NBN:no-nb_digibok_2014050805036,oai:nb.bibsys.no:990901094654702202,3e8b2e0f86c81a6d476d76519c0c1ac2,,Elverum,20080101,2008,Høgskolen i Hedmark,mul / nob / eng,ledelsesutvikling / kommuneledelse / kommunenes / sentralforbund,,,Uklassifisert,digibok
2868,100205778,Evaluering av Handlingsplan for likebehandling og økt rekruttering av personer med minoritetsbakgrunn til stillinger i Oslo kommune,,URN:NBN:no-nb_digibok_2014051505032,oai:nb.bibsys.no:990827938404702202,435c79e3b65e4eb543bbc35525950603,,,20080101,2008,ECON,nob,Statistical data / Immigrants / Evaluation / Employment / Public administration / Recruitment / Minority groups,,,Uklassifisert,digibok
2869,100205919,Evaluering av telefonveiledningstjenesten i AKAN,"Mathisen , Anders S.",URN:NBN:no-nb_digibok_2014051906128,oai:nb.bibsys.no:990808398434702202,05528b4b0e663c0ebe9d2b37b7b5cafa,,Oslo,20080101,2008,"Norsk institutt for forskning om oppvekst, velferd og aldring",nob,rus / avhengighet / veiledning / rusmiddelpolitikk,,,Uklassifisert,digibok
2870,100207718,"Evaluering av ""Kompetanse for utvikling. Strategi for kompetanseutvikling i grunnopplæringen 2005-2008"" : delrapport 3","Hagen , Anna / Nadim , Marjan / Nyen , Torgeir",URN:NBN:no-nb_digibok_2014052705084,oai:nb.bibsys.no:990824191914702202,e49dc388b3242f88c79252cbbc493062,,Oslo,20080101,2008,Fafo,nob,,,,Uklassifisert,digibok
2871,100208070,Sluttevaluering av omstillingsprogrammet i Evje og Hornnes kommune,"Pettersen , Inger Beate / Drangsland , Kari Anne Klovholt / Jakobsen , Stig-Erik",URN:NBN:no-nb_digibok_2014060506007,oai:nb.bibsys.no:990828306574702202,62a4f8321ff835c29754ba2e533defdf,,Bergen,20080101,2008,Samfunns- og næringslivsforskning,nob,,,,Uklassifisert,digibok
2872,100208240,Evaluering av organisasjonsutvikling i tolkingsassistentprosjektet : fagligorganisatoriske tilpasninger og framtidsperspektiver på organisering av avansert teleradiologi,"Ekeland , Anne Granstrøm",URN:NBN:no-nb_digibok_2014061006016,oai:nb.bibsys.no:990825852704702202,700ddf274929511dc428e0d04c110709,,Tromsø,20080101,2008,Nasjonalt senter for telemedisin,nob,,,,Uklassifisert,digibok
2873,100208871,Evaluering av Aktiv i Re,"Mathisen , Anders S.",URN:NBN:no-nb_digibok_2014061105036,oai:nb.bibsys.no:990828968794702202,6aba58cad85b840fdf9d255122ace872,,Oslo,20080101,2008,"Norsk institutt for forskning om oppvekst, velferd og aldring",nob,Primary Prevention / Child Behavior Disorders / Social Welfare / Child / Child Welfare / barnevern / barn / ungdom / sosiale-tjenester / re / ramnes / våle,362.7,,Uklassifisert,digibok
